Focal,realyr,startdate,grp,ff_a1,ff_a2,ff_vg1,ff_vg2,ff_g1,ff_g2,fm_a1,fm_a2,fm_vg1,fm_vg2,fm_g1,fm_g2,obslact,obspreg,obsflat,obsswol,obsunkn,totalobs,obsinf91days,obsfs,notfs,year,silent,grunt,allappr,ela,elo,propgrunt,obshr,a1rate
bf,2013,41275,PHG,18,26,32,50,2,4,2,8,0,5,1,0,6,6,0,0,0,12,6,0,0,13,7,2,9,1.48142,1,0.2222222,3,6
by,2013,41275,ENK,13,47,14,51,1,4,12,7,3,11,2,4,11,0,0,0,0,11,11,0,0,13,6,1,7,0.755618,0.37586,0.1428571,2.75,4.727273
dz,2013,41275,PHG,7,6,8,3,1,1,0,6,2,2,0,0,0,12,0,0,0,12,0,0,0,13,,,,,,,3,2.333333
fd,2013,41275,PHG,21,10,39,17,7,2,5,3,3,4,2,1,3,0,0,8,1,12,0,0,0,13,5,2,7,1.23171,0.625664,0.2857143,3,7
fx,2013,41275,PHG,7,13,5,22,1,5,4,6,1,6,0,0,12,0,0,0,0,12,6,0,0,13,3,1,4,2.49824,0.609401,0.25,3,2.333333
oa,2013,41275,PHG,17,11,13,8,6,4,6,7,0,1,0,0,0,12,0,0,0,12,0,0,0,13,11,0,11,1.68074,0.415661,0,3,5.666667
ob,2013,41275,PHG,6,2,8,6,0,1,2,10,3,3,1,0,0,0,5,7,1,13,0,3,3,13,5,0,5,1.78608,0.289618,0,3.25,1.846154
oo,2013,41275,PHG,13,43,21,52,4,5,11,22,2,17,0,1,13,0,0,0,0,13,13,0,0,13,13,2,15,0.873913,0.327938,0.1333333,3.25,4
oy,2013,41275,PHG,15,3,11,5,0,0,2,12,0,0,0,0,0,10,0,0,0,10,0,0,0,13,0,1,1,1.62826,0.052545,1,2.5,6
qn,2013,41275,ENK,21,13,21,7,7,2,4,4,0,0,4,5,11,0,0,0,0,11,0,0,0,13,2,0,2,0.591304,0.484737,0,2.75,7.636364
qp,2013,41275,ENK,15,7,27,12,4,1,4,7,1,1,0,0,0,10,0,0,0,10,0,0,0,13,5,1,6,1.64355,0.403026,0.1666667,2.5,6
tr,2013,41275,PHG,7,10,10,12,0,1,3,7,1,1,0,0,8,0,0,3,0,11,0,0,0,13,,,,,,,2.75,2.545455
ty,2013,41275,PHG,12,0,10,2,1,3,6,5,0,0,0,0,0,0,2,7,2,11,0,0,0,13,6,1,7,2.17174,0.243214,0.1428571,2.75,4.363636
ua,2013,41275,ENK,26,36,32,71,2,10,11,14,4,9,12,1,12,0,0,0,0,12,12,0,0,13,6,3,9,1.83302,1,0.3333333,3,8.666667
ug,2013,41275,PHG,14,9,15,5,2,1,11,20,4,10,4,2,0,0,6,7,0,13,0,2,2,13,1,0,1,2.11796,0.154874,0,3.25,4.307693
un,2013,41275,PHG,7,9,16,6,4,5,4,33,1,4,1,9,0,0,0,12,0,12,0,8,8,13,,,,,,,3,2.333333
ur,2013,41275,PHG,13,31,22,63,5,9,7,18,3,9,0,0,12,0,0,0,0,12,11,0,0,13,0,1,1,0.818255,0.294029,1,3,4.333333
ut,2013,41275,ENK,17,11,26,6,5,0,11,42,0,1,0,9,0,0,0,0,11,11,0,0,0,13,,,,,,,2.75,6.181818
uv,2013,41275,ENK,20,4,15,5,1,0,9,8,1,0,0,0,0,11,0,0,0,11,0,0,0,13,10,0,10,1.58188,0.638451,0,2.75,7.272727
ux,2013,41275,PHG,4,19,5,8,1,1,9,25,3,3,1,2,0,4,1,7,0,12,0,5,5,13,,,,,,,3,1.333333
uz,2013,41275,PHG,13,7,3,1,1,4,6,4,0,0,1,0,0,0,4,8,0,12,0,1,1,13,3,0,3,3.14115,0.188034,0,3,4.333333
bf,2014,41640,PHG,161,111,244,156,20,20,74,275,18,38,16,17,40,41,5,49,1,136,17,24,24,14,126,35,161,1.48142,1,0.2173913,34,4.735294
by,2014,41640,ENK,84,129,73,86,12,31,90,166,18,36,12,5,33,71,7,17,0,128,27,6,6,14,16,3,19,0.755618,0.37586,0.1578947,32,2.625
dz,2014,41640,PHG,91,206,83,155,13,32,37,69,7,13,4,1,117,15,0,2,2,136,41,0,0,14,,,,,,,34,2.676471
fd,2014,41640,PHG,206,83,191,64,23,18,77,244,24,26,18,6,5,74,19,26,11,135,5,11,11,14,187,20,207,1.23171,0.625664,0.0966184,33.75,6.103703
fx,2014,41640,PHG,136,65,111,42,15,13,41,180,9,20,10,17,33,66,13,26,0,138,1,4,4,14,138,7,145,2.49824,0.609401,0.0482759,34.5,3.942029
gm,2014,41640,PHG,9,6,1,0,2,0,3,2,0,0,0,0,0,0,3,12,1,16,0,0,0,14,11,3,14,1.39141,0.429724,0.2142857,4,2.25
o6,2014,41640,PHG,73,27,49,10,19,3,14,12,1,1,1,0,0,0,15,40,3,58,0,1,1,14,39,0,39,2.25217,0.147708,0,14.5,5.034483
