Focal,year,startdate,midDate,focgrp,ff_a1,ff_a2,ff_vg1,ff_vg2,ff_g1,ff_g2,fm_a1,fm_a2,fm_vg1,fm_vg2,fm_g1,fm_g2,obslact,obspreg,obsflat,obsswol,obsunkn,totalobs,obsinf91days,obsfs,notfs,CoresMDS
bf,2013,41275,41426,PHG,18,26,32,50,2,4,2,8,0,5,1,0,6,6,0,0,0,12,6,0,0,0
bf,2014,41640,41791,PHG,161,111,244,156,20,20,74,275,18,38,16,17,40,41,5,49,1,136,17,24,24,1
bf,2015,42005,42156,PHG,208,306,196,426,16,50,39,106,1,35,9,6,59,7,3,25,1,95,30,17,17,1
bf,2016,42370,42522,PHG,99,101,128,93,10,25,18,105,6,22,3,9,30,46,5,6,0,87,23,4,4,1
bf,2017,42736,42887,PHG,77,68,119,84,7,19,26,121,21,30,2,12,51,10,5,19,0,85,0,10,10,1
by,2013,41275,41426,ENK,13,47,14,51,1,4,12,7,3,11,2,4,11,0,0,0,0,11,11,0,0,2
by,2014,41640,41791,ENK,84,129,73,86,12,31,90,166,18,36,12,5,33,71,7,17,0,128,27,6,6,3
by,2015,42005,42156,ENK,192,260,142,118,26,60,66,120,13,24,7,13,22,47,7,12,0,88,19,2,2,4
by,2016,42370,42522,ENK,37,97,30,40,0,10,7,20,5,6,1,1,17,0,0,12,0,29,4,3,3,4
co,2016,42370,42522,PHG,29,24,12,4,6,3,9,10,0,1,2,0,0,0,11,21,3,35,0,7,7,3
co,2017,42736,42887,PHG,76,57,107,13,5,1,56,41,2,8,24,5,0,0,30,55,0,85,0,9,9,3
cr,2017,42736,42887,PHG,63,49,56,8,7,4,47,53,4,4,9,2,0,0,25,56,0,81,0,12,12,2
dz,2013,41275,41426,PHG,7,6,8,3,1,1,0,6,2,2,0,0,0,12,0,0,0,12,0,0,0,1
dz,2014,41640,41791,PHG,91,206,83,155,13,32,37,69,7,13,4,1,117,15,0,2,2,136,41,0,0,1
dz,2015,42005,42156,PHG,120,116,96,36,10,2,27,52,1,1,3,1,0,0,58,32,0,90,0,8,8,1
dz,2016,42370,42522,PHG,30,32,32,2,13,3,13,62,10,9,5,14,0,0,48,33,5,86,0,14,14,1
dz,2017,42736,42887,PHG,38,58,38,8,8,3,28,63,45,21,5,9,0,0,42,43,0,85,0,14,14,1
fd,2013,41275,41426,PHG,21,10,39,17,7,2,5,3,3,4,2,1,3,0,0,8,1,12,0,0,0,1
fd,2014,41640,41791,PHG,206,83,191,64,23,18,77,244,24,26,18,6,5,74,19,26,11,135,5,11,11,2
fd,2015,42005,42156,PHG,246,174,262,152,18,36,52,95,12,12,13,2,22,36,9,21,0,88,5,8,8,2
fd,2016,42370,42522,PHG,98,183,184,181,24,65,21,75,5,10,7,6,47,13,4,21,0,85,24,5,5,3
fd,2017,42736,42887,PHG,117,144,127,130,4,37,37,69,7,18,9,9,43,36,1,4,1,85,24,1,1,4
fx,2013,41275,41426,PHG,7,13,5,22,1,5,4,6,1,6,0,0,12,0,0,0,0,12,6,0,0,1
fx,2014,41640,41791,PHG,136,65,111,42,15,13,41,180,9,20,10,17,33,66,13,26,0,138,1,4,4,2
fx,2015,42005,42156,PHG,188,232,146,312,16,66,39,72,2,33,8,6,59,21,7,8,1,96,10,0,0,2
fx,2016,42370,42522,PHG,95,62,98,49,21,12,21,44,2,10,6,10,60,27,0,0,0,87,21,0,0,3
fx,2017,42736,42887,PHG,69,90,40,67,6,8,51,169,6,26,3,5,11,39,14,21,0,85,8,6,6,4
gb,2017,42736,42887,PHG,27,11,28,2,7,1,9,2,1,0,1,0,0,0,7,12,0,19,0,1,1,4
gm,2014,41640,41791,PHG,9,6,1,0,2,0,3,2,0,0,0,0,0,0,3,12,1,16,0,0,0,2
gm,2015,42005,42156,PHG,296,138,242,28,38,2,71,57,2,7,13,7,0,0,28,63,2,93,0,20,20,2
gm,2016,42370,42522,PHG,138,51,90,36,40,2,36,80,4,11,20,26,6,45,10,23,1,85,6,13,13,3
gm,2017,42736,42887,PHG,135,169,60,159,18,29,71,85,6,43,6,6,56,0,7,22,1,86,15,15,15,4
gr,2016,42370,42522,PHG,107,46,53,6,12,1,22,29,2,3,3,2,0,0,32,49,4,85,0,15,15,1
gr,2017,42736,42887,PHG,85,39,68,7,16,2,50,125,4,13,5,3,0,0,42,41,2,85,0,24,24,1
gy,2016,42370,42522,PHG,149,35,102,8,29,1,55,35,3,2,10,1,0,0,32,53,1,86,0,20,20,3
gy,2017,42736,42887,PHG,149,56,110,19,17,1,55,119,9,15,9,22,0,26,22,36,2,86,0,25,25,4
ky,2015,42005,42156,ENK,62,24,24,4,8,2,8,3,0,0,0,0,0,0,10,16,0,26,0,3,3,3
ky,2015,42005,42156,PHG,28,6,22,10,2,0,0,1,0,0,0,0,0,0,4,8,0,12,0,0,0,3
ky,2016,42370,42522,ENK,28,20,14,0,0,0,16,20,0,0,2,2,0,0,4,25,0,29,0,11,11,3
ky,2016,42370,42522,YNT,33,22,32,1,3,2,10,16,0,0,7,2,0,57,4,1,0,62,0,1,1,3
ky,2017,42736,42887,YNT,109,131,88,76,11,16,17,32,1,1,4,1,74,0,7,0,0,81,30,0,0,3
o6,2014,41640,41791,PHG,73,27,49,10,19,3,14,12,1,1,1,0,0,0,15,40,3,58,0,1,1,3
o6,2015,42005,42156,ENK,30,16,4,0,4,2,2,1,0,0,0,0,0,0,26,0,0,26,0,0,0,3
o6,2015,42005,42156,PHG,170,76,80,6,4,2,6,7,1,1,1,0,0,0,19,38,5,62,0,8,8,4
o6,2016,42370,42522,ENK,33,33,5,4,4,0,3,2,1,1,0,0,0,0,15,14,0,29,0,9,9,3
o6,2016,42370,42522,YNT,61,18,21,3,16,3,28,10,0,2,7,2,0,0,23,28,6,57,0,8,8,3
o6,2017,42736,42887,YNT,77,30,42,12,7,4,25,27,5,13,2,7,5,29,16,6,16,72,5,2,2,3
oa,2013,41275,41426,PHG,17,11,13,8,6,4,6,7,0,1,0,0,0,12,0,0,0,12,0,0,0,2
oa,2014,41640,41791,PHG,148,328,103,296,15,56,60,86,4,50,3,12,54,56,6,15,1,132,45,14,14,3
oa,2015,42005,42156,ENK,50,48,4,4,6,14,6,20,0,1,2,2,0,1,16,10,0,27,0,2,2,3
oa,2015,42005,42156,PHG,174,336,94,258,14,32,27,12,1,14,2,0,56,7,3,2,0,68,35,0,0,4
oa,2016,42370,42522,ENK,36,42,11,2,4,7,11,20,2,2,1,1,0,29,0,0,0,29,0,0,0,3
oa,2016,42370,42522,YNT,40,94,10,62,4,13,19,27,0,5,1,4,43,6,0,8,0,57,24,6,6,3
oa,2017,42736,42887,YNT,68,78,20,52,4,4,16,19,3,6,0,1,19,53,0,0,0,72,10,0,0,3
ob,2013,41275,41426,PHG,6,2,8,6,0,1,2,10,3,3,1,0,0,0,5,7,1,13,0,3,3,2
ob,2014,41640,41791,PHG,123,117,115,99,14,7,44,72,7,12,10,3,21,74,15,17,4,131,21,4,4,3
ob,2015,42005,42156,PHG,62,64,60,28,4,6,3,3,0,0,0,0,0,10,6,14,0,30,0,5,5,4
ob,2015,42005,42156,ENK,110,66,52,24,8,10,16,28,5,10,0,0,26,26,4,5,0,61,0,0,0,3
ob,2016,42370,42522,ENK,41,56,47,25,10,0,4,4,1,1,0,0,5,13,9,2,0,29,5,0,0,3
ob,2016,42370,42522,YNT,44,33,23,5,4,4,21,25,1,2,1,7,0,39,4,13,0,56,0,4,4,3
ob,2017,42736,42887,YNT,46,88,28,47,6,8,17,14,3,2,4,2,67,6,0,0,0,73,37,0,0,3
oo,2013,41275,41426,PHG,13,43,21,52,4,5,11,22,2,17,0,1,13,0,0,0,0,13,13,0,0,0
oo,2014,41640,41791,PHG,111,137,94,73,7,9,42,80,1,8,4,7,22,27,45,37,2,133,0,16,16,0
oo,2015,42005,42156,PHG,48,140,44,96,0,6,0,0,0,0,0,0,30,0,0,0,0,30,3,0,0,0
oo,2015,42005,42156,ENK,88,144,60,94,6,14,46,53,15,37,4,3,28,8,4,18,0,58,27,7,7,0
oo,2016,42370,42522,ENK,55,18,37,2,6,4,16,13,0,1,2,0,0,29,0,0,0,29,0,0,0,0
oo,2016,42370,42522,YNT,23,70,19,35,5,4,8,10,0,3,1,0,47,9,0,0,0,56,23,0,0,0
oo,2017,42736,42887,YNT,48,71,20,27,4,4,23,10,0,3,1,0,28,31,0,14,0,73,6,4,4,0
oy,2013,41275,41426,PHG,15,3,11,5,0,0,2,12,0,0,0,0,0,10,0,0,0,10,0,0,0,2
oy,2014,41640,41791,PHG,80,204,70,153,1,8,80,153,6,61,10,7,79,0,18,32,4,133,29,16,16,3
oy,2015,42005,42156,PHG,162,190,80,28,16,6,38,78,1,5,1,4,0,42,33,20,0,95,0,5,5,3
oy,2016,42370,42522,PHG,60,146,36,138,7,22,16,38,0,1,2,2,81,4,0,0,0,85,24,0,0,0
oy,2017,42736,42887,PHG,30,68,16,17,1,0,18,60,0,5,3,10,43,0,15,25,2,85,0,7,7,0
qc,2014,41640,41791,ENK,67,36,47,12,21,8,44,26,7,9,1,0,0,0,21,51,2,74,0,10,10,3
qc,2015,42005,42156,ENK,262,204,272,112,24,14,82,79,28,30,8,1,29,49,2,8,0,88,29,4,4,4
qc,2016,42370,42522,ENK,117,95,82,35,33,15,36,39,13,14,15,9,29,33,14,14,0,90,0,5,5,4
qc,2017,42736,42887,ENK,101,122,104,109,18,8,84,53,25,32,8,1,56,24,4,3,1,88,34,0,0,3
qn,2013,41275,41426,ENK,21,13,21,7,7,2,4,4,0,0,4,5,11,0,0,0,0,11,0,0,0,2
qn,2014,41640,41791,ENK,100,162,94,112,15,29,79,141,11,44,16,17,54,71,0,7,0,132,36,7,7,3
qn,2015,42005,42156,ENK,184,126,230,58,84,40,62,93,17,14,5,12,15,46,4,18,0,83,0,7,7,4
qn,2016,42370,42522,ENK,81,165,48,86,13,49,32,60,4,9,14,22,48,18,6,13,0,85,24,7,7,4
