date,month,year,Focal,Elo,EloOrdinal,EloScaled,ExpNumBeaten,EloCardinal,JenksEloCardinal
1/14/13,1,2013,bf,596.0854874,1,1,13.9261546,0.994725329,high
1/15/13,1,2013,bf,596.0854874,1,1,13.9261546,0.994725329,high
1/16/13,1,2013,bf,596.0854874,1,1,13.9261546,0.994725329,high
1/17/13,1,2013,bf,596.0854874,1,1,13.9261546,0.994725329,high
1/18/13,1,2013,bf,596.0854874,1,1,13.9261546,0.994725329,high
1/19/13,1,2013,bf,596.0854874,1,1,13.9261546,0.994725329,high
1/20/13,1,2013,bf,596.0854874,1,1,13.92605485,0.994718204,high
1/21/13,1,2013,bf,596.0854874,1,1,13.92605485,0.994718204,high
1/22/13,1,2013,bf,596.219693,1,1,13.92615443,0.994725317,high
1/23/13,1,2013,bf,596.219693,1,1,13.92615443,0.994725317,high
1/24/13,1,2013,bf,596.219693,1,1,13.92561066,0.994686475,high
1/25/13,1,2013,bf,596.219693,1,1,13.92561066,0.994686475,high
1/26/13,1,2013,bf,596.219693,1,1,13.92561066,0.994686475,high
1/27/13,1,2013,bf,596.219693,1,1,13.92561066,0.994686475,high
1/28/13,1,2013,bf,596.219693,1,1,13.92561066,0.994686475,high
1/29/13,1,2013,bf,596.219693,1,1,13.92561066,0.994686475,high
1/30/13,1,2013,bf,596.219693,1,1,13.92561066,0.994686475,high
1/31/13,1,2013,bf,596.219693,1,1,13.92561066,0.994686475,high
2/1/13,2,2013,bf,596.219693,1,1,13.92561066,0.994686475,high
2/2/13,2,2013,bf,596.219693,1,1,13.92561066,0.994686475,high
2/3/13,2,2013,bf,596.219693,1,1,13.92561066,0.994686475,high
2/4/13,2,2013,bf,596.2452333,1,1,13.92562961,0.994687829,high
2/5/13,2,2013,bf,596.2452333,1,1,13.92575056,0.994696469,high
2/6/13,2,2013,bf,596.2452333,1,1,13.92575056,0.994696469,high
2/7/13,2,2013,bf,596.8110757,1,1,13.92623293,0.994730923,high
2/8/13,2,2013,bf,596.8110757,1,1,13.92623293,0.994730923,high
2/9/13,2,2013,bf,596.8110757,1,1,13.92623293,0.994730923,high
2/10/13,2,2013,bf,596.8110757,1,1,13.92623293,0.994730923,high
2/11/13,2,2013,bf,596.8110757,1,1,13.92623293,0.994730923,high
2/12/13,2,2013,bf,596.8110757,1,1,13.9260108,0.994715057,high
2/13/13,2,2013,bf,596.8110757,1,1,13.9260108,0.994715057,high
2/14/13,2,2013,bf,596.8260205,1,1,13.92602174,0.994715839,high
2/15/13,2,2013,bf,596.8260205,1,1,13.92602174,0.994715839,high
2/16/13,2,2013,bf,596.8260205,1,1,13.92602174,0.994715839,high
2/17/13,2,2013,bf,596.8260205,1,1,13.92602174,0.994715839,high
2/18/13,2,2013,bf,596.8260205,1,1,13.92602174,0.994715839,high
2/19/13,2,2013,bf,596.8260205,1,1,13.92602174,0.994715839,high
2/20/13,2,2013,bf,596.8260205,1,1,13.92602174,0.994715839,high
2/21/13,2,2013,bf,596.8260205,1,1,13.92602174,0.994715839,high
2/22/13,2,2013,bf,596.8260205,1,1,13.92602174,0.994715839,high
2/23/13,2,2013,bf,596.8260205,1,1,13.92557367,0.994683834,high
2/24/13,2,2013,bf,596.8260205,1,1,13.92557367,0.994683834,high
2/25/13,2,2013,bf,597.3867916,1,1,13.92607807,0.994719862,high
2/26/13,2,2013,bf,597.3867916,1,1,13.92607807,0.994719862,high
2/27/13,2,2013,bf,597.3867916,1,1,13.92607807,0.994719862,high
2/28/13,2,2013,bf,597.3867916,1,1,13.92607807,0.994719862,high
3/1/13,3,2013,bf,597.3867916,1,1,13.92607807,0.994719862,high
3/2/13,3,2013,bf,597.3867916,1,1,13.92607807,0.994719862,high
3/3/13,3,2013,bf,597.3867916,1,1,13.92607807,0.994719862,high
3/4/13,3,2013,bf,597.3867916,1,1,13.92607807,0.994719862,high
3/5/13,3,2013,bf,597.4392629,1,1,13.92611756,0.994722683,high
3/6/13,3,2013,bf,597.4392629,1,1,13.92534485,0.994667489,high
3/7/13,3,2013,bf,597.4392629,1,1,13.92534485,0.994667489,high
3/8/13,3,2013,bf,597.4392629,1,1,13.92524493,0.994660352,high
3/9/13,3,2013,bf,598.0116711,1,1,13.92569882,0.994692773,high
3/10/13,3,2013,bf,598.0331588,1,1,13.92571469,0.994693907,high
3/11/13,3,2013,bf,598.0331588,1,1,13.92571469,0.994693907,high
3/12/13,3,2013,bf,599.7196453,1,1,13.92689892,0.994778494,high
3/13/13,3,2013,bf,599.7196453,1,1,13.92689892,0.994778494,high
3/14/13,3,2013,bf,599.7196453,1,1,13.92689892,0.994778494,high
3/15/13,3,2013,bf,599.7196453,1,1,13.92689892,0.994778494,high
3/16/13,3,2013,bf,599.7196453,1,1,13.92689892,0.994778494,high
3/17/13,3,2013,bf,599.7196453,1,1,13.92689892,0.994778494,high
3/18/13,3,2013,bf,600.6766504,1,1,13.9279728,0.9948552,high
3/19/13,3,2013,bf,600.6911669,1,1,13.92798315,0.994855939,high
3/20/13,3,2013,bf,600.6911669,1,1,13.92798315,0.994855939,high
3/21/13,3,2013,bf,600.6911669,1,1,13.92798315,0.994855939,high
3/22/13,3,2013,bf,600.6911669,1,1,13.92983022,0.994987873,high
3/23/13,3,2013,bf,600.6911669,1,1,13.92983022,0.994987873,high
3/24/13,3,2013,bf,600.6911669,1,1,13.92983022,0.994987873,high
3/25/13,3,2013,bf,600.6911669,1,1,13.92983022,0.994987873,high
3/26/13,3,2013,bf,600.6911669,1,1,13.92983022,0.994987873,high
3/27/13,3,2013,bf,600.6911669,1,1,13.92983022,0.994987873,high
3/28/13,3,2013,bf,600.6911669,1,1,13.92979607,0.994985434,high
3/29/13,3,2013,bf,600.6911669,1,1,13.92979607,0.994985434,high
3/30/13,3,2013,bf,600.6911669,1,1,13.92979607,0.994985434,high
3/31/13,3,2013,bf,600.6911669,1,1,13.92979607,0.994985434,high
4/1/13,4,2013,bf,600.6911669,1,1,13.92979607,0.994985434,high
4/2/13,4,2013,bf,600.7433011,1,1,13.92980918,0.99498637,high
4/3/13,4,2013,bf,600.7433011,1,1,13.92980918,0.99498637,high
4/4/13,4,2013,bf,600.7433011,1,1,13.9298894,0.9949921,high
4/5/13,4,2013,bf,600.7433011,1,1,13.9298894,0.9949921,high
4/6/13,4,2013,bf,600.7433011,1,1,13.93016381,0.995011701,high
4/7/13,4,2013,bf,601.0969,1,1,13.93047175,0.995033697,high
4/8/13,4,2013,bf,601.0969,1,1,13.93047175,0.995033697,high
4/9/13,4,2013,bf,601.0969,1,1,13.93047175,0.995033697,high
4/10/13,4,2013,bf,601.0969,1,1,13.93046593,0.995033281,high
4/11/13,4,2013,bf,601.0969,1,1,13.93046593,0.995033281,high
4/12/13,4,2013,bf,601.0969,1,1,13.93046593,0.995033281,high
4/13/13,4,2013,bf,601.0969,1,1,13.93046593,0.995033281,high
4/14/13,4,2013,bf,601.0969,1,1,13.93046593,0.995033281,high
4/15/13,4,2013,bf,601.0969,1,1,13.93046593,0.995033281,high
4/16/13,4,2013,bf,601.0969,1,1,13.93046593,0.995033281,high
4/17/13,4,2013,bf,601.0969,1,1,13.93046593,0.995033281,high
4/18/13,4,2013,bf,601.1418774,1,1,13.93007122,0.995005087,high
4/19/13,4,2013,bf,601.1622261,1,1,13.9300854,0.9950061,high
4/20/13,4,2013,bf,601.1622261,1,1,13.9300854,0.9950061,high
4/21/13,4,2013,bf,601.1622261,1,1,13.9300854,0.9950061,high
4/22/13,4,2013,bf,601.1622261,1,1,13.9300854,0.9950061,high
4/23/13,4,2013,bf,601.1622261,1,1,13.9300854,0.9950061,high
4/24/13,4,2013,bf,601.298941,1,1,13.93018933,0.995013524,high
4/25/13,4,2013,bf,601.298941,1,1,13.93018933,0.995013524,high
4/26/13,4,2013,bf,601.342909,1,1,13.93027054,0.995019324,high
4/27/13,4,2013,bf,601.342909,1,1,13.93027054,0.995019324,high
4/28/13,4,2013,bf,601.342909,1,1,13.93027054,0.995019324,high
4/29/13,4,2013,bf,601.8855599,1,1,13.93079833,0.995057024,high
4/30/13,4,2013,bf,601.8933384,1,1,13.93088937,0.995063527,high
5/1/13,5,2013,bf,601.8933384,1,1,13.93088937,0.995063527,high
5/2/13,5,2013,bf,601.8933384,1,1,13.93088937,0.995063527,high
5/3/13,5,2013,bf,601.8933384,1,1,13.93088937,0.995063527,high
5/4/13,5,2013,bf,601.8933384,1,1,13.93088937,0.995063527,high
5/5/13,5,2013,bf,601.8933384,1,1,13.93088937,0.995063527,high
5/6/13,5,2013,bf,601.8933384,1,1,13.93055775,0.995039839,high
5/7/13,5,2013,bf,601.8933384,1,1,13.93055775,0.995039839,high
5/8/13,5,2013,bf,601.8933384,1,1,13.93055775,0.995039839,high
5/9/13,5,2013,bf,602.4309559,1,1,13.93107776,0.995076983,high
5/10/13,5,2013,bf,602.4309559,1,1,13.93107776,0.995076983,high
5/11/13,5,2013,bf,602.4309559,1,1,13.93107776,0.995076983,high
5/12/13,5,2013,bf,603.8668719,1,1,13.93085014,0.995060724,high
5/13/13,5,2013,bf,604.3861817,1,1,13.93149382,0.995106702,high
5/14/13,5,2013,bf,604.3861817,1,1,13.93149382,0.995106702,high
5/15/13,5,2013,bf,604.3861817,1,1,13.93149382,0.995106702,high
5/16/13,5,2013,bf,604.3861817,1,1,13.93149382,0.995106702,high
5/17/13,5,2013,bf,604.3861817,1,1,13.93149382,0.995106702,high
5/18/13,5,2013,bf,604.3861817,1,1,13.93149382,0.995106702,high
5/19/13,5,2013,bf,604.3861817,1,1,13.93149382,0.995106702,high
5/20/13,5,2013,bf,604.3909899,1,1,13.93175421,0.995125301,high
5/21/13,5,2013,bf,604.3997369,1,1,13.93166046,0.995118604,high
5/22/13,5,2013,bf,604.3997369,1,1,13.93166046,0.995118604,high
5/23/13,5,2013,bf,604.3997369,1,1,13.93166046,0.995118604,high
5/24/13,5,2013,bf,604.3997369,1,1,13.93166046,0.995118604,high
5/25/13,5,2013,bf,604.3997369,1,1,13.9315094,0.995107814,high
5/26/13,5,2013,bf,604.3997369,1,1,13.9315094,0.995107814,high
5/27/13,5,2013,bf,604.3997369,1,1,13.9315094,0.995107814,high
5/28/13,5,2013,bf,604.414087,1,1,13.93151915,0.995108511,high
5/29/13,5,2013,bf,604.414087,1,1,13.93148401,0.995106001,high
5/30/13,5,2013,bf,604.414087,1,1,13.93148401,0.995106001,high
5/31/13,5,2013,bf,604.414087,1,1,13.93148401,0.995106001,high
6/1/13,6,2013,bf,604.414087,1,1,13.93148401,0.995106001,high
6/2/13,6,2013,bf,604.4180444,1,1,13.93148668,0.995106191,high
6/3/13,6,2013,bf,604.4180444,1,1,13.93148668,0.995106191,high
6/4/13,6,2013,bf,604.4180444,1,1,13.93148668,0.995106191,high
